书目ID,题名,责任者,ISBN,价格（元）,出版社,出版年,分类号,索书号,复本数
66074,西游记 上,吴承恩,978-7-1111-2222-3,1,广西民族出版社,2019,I242.4,I242.4/3,8
64475,新李尔王,作者 (日) 高村薰,978-7-5534-2793-5,CNY79.80 (2册),吉林出版集团有限责任公司,2015,I313.45,111,1
64474,南怀瑾选集,南怀瑾著述,978-7-309-09437-4,CNY88.00,复旦大学出版社,2013,C52,1,1
64473,美国记者眼中的八路军,萨苏著,978-7-5477-1451-5,CNY58.00,同心出版社,2015,K265.106,K265.106/1,4
64472,中国油画史,刘淳著,978-7-5153-4245-0,CNY188.00,中国青年出版社,2016,J213.092,J213.092/1,2
64471,养瘦,焦亮主编,978-7-5390-5765-1,CNY59.00,江西科学技术出版社,2016,R161,K265.106/1,1
64470,易纬今注今译,萧洪恩著,978-7-307-18367-4,CNY112.00,武汉大学出版社,2016,B221,B221/1,1
64469,诗画中国,诗歌七月,978-7-5153-3194-2,CNY120.00,中国青年出版社,2015,I227,I227/1,2
64468,酵素让你皮肤好，变苗条， 不易老,(韩) 申龙澈著,978-7-5126-3065-9,CNY49.80,团结出版社,2014,TQ920.1,TQ920.1/1,1
64467,所谓情商高就是会沟通,牧之编著,978-7-5008-6706-7,CNY45.00,中国工人出版社,2017,C912.11,C912.11/1,1
64466,痛并快乐着,白岩松著,978-7-5354-4879-8,CNY29.00 (含光盘),长江文艺出版社,2010,I267.1,I267.1/1,5
64465,吸血鬼,(英) 鲍勃·库仁著,978-7-5463-4232-0,CNY29.80,吉林出版集团有限责任公司,2010,B933,,
64464,让性格成就你,孙郡锴编著,978-7-80222-786-6,CNY29.80,中国华侨出版社,2013,B848.6,,
64463,出离心,沈念著,978-7-5468-0990-8,CNY38.00,敦煌文艺出版社,2015,I247.7,,
64462,2015中国最美散文,张秀枫主编,978-7-5568-1435-0,CNY38.00,二十一世纪出版社集团,2016,I267,,
64461,李中莹亲密关系全面技巧,李中莹著,978-7-5502-5938-6,CNY36.00,北京联合出版公司,2015,C913.1,,
